Transaction_ID,Security_Type,ISIN,Quantity,Trade_Value,Corporate_Action_Type,Date,Status
TXN1001,Mutual Fund,IN00109767,481,36719.25,Buyback,2024-12-01,Completed
TXN1002,Bond,IN00580547,448,33356.36,Merger,2024-06-13,Completed
TXN1003,Bond,IN00751332,447,24890.69,Split,2024-08-26,Completed
TXN1004,ETF,IN00690341,78,33335.54,Split,2024-08-14,Completed
TXN1005,Bond,IN00204837,162,28722.0,Merger,2024-08-14,Completed
TXN1006,Equity,IN00176819,465,19556.56,Buyback,2024-12-11,Completed
TXN1007,Derivative,IN00663750,71,31629.04,Buyback,2024-04-19,Completed
TXN1008,Derivative,IN00323508,462,48197.23,Dividend,2024-09-18,Completed
TXN1009,Equity,IN00630458,211,37211.34,Merger,2024-08-30,Completed
TXN1010,ETF,IN00378082,250,14582.07,Buyback,2024-03-27,Completed
TXN1011,Equity,IN00238890,182,45891.54,Bonus Issue,2024-12-03,Completed
TXN1012,Equity,IN00465962,83,40535.11,Split,2024-02-13,Completed
TXN1013,Derivative,IN00172132,153,40243.95,Dividend,2024-05-25,Completed
TXN1014,Mutual Fund,IN00356150,345,23607.02,Merger,2024-09-20,Completed
TXN1015,Derivative,IN00487477,498,21240.01,Dividend,2024-12-05,Completed
TXN1016,Derivative,IN00398830,412,16826.31,Buyback,2024-11-20,Completed
TXN1017,Bond,IN00265409,216,9629.81,Buyback,2024-11-13,Completed
TXN1018,Equity,IN00559469,158,38883.68,Bonus Issue,2024-06-20,Completed
TXN1019,Derivative,IN00974244,390,38287.23,Split,2024-02-17,Completed
TXN1020,Equity,IN00669605,310,48875.52,Merger,2024-04-30,Completed
TXN1021,Bond,IN00837715,252,39978.49,Dividend,2024-12-10,Completed
TXN1022,Equity,IN00417212,384,29807.27,Split,2024-06-07,Completed
TXN1023,Derivative,IN00741390,279,14256.43,Buyback,2024-04-25,Completed
TXN1024,Equity,IN00946305,118,35012.01,Split,2024-04-11,Completed
TXN1025,Bond,IN00785743,180,43666.77,Dividend,2024-03-16,Completed
TXN1026,Mutual Fund,IN00654634,126,29806.52,Split,2024-01-13,Completed
TXN1027,Equity,IN00108203,171,17456.44,Buyback,2024-01-24,Completed
TXN1028,Derivative,IN00800305,436,24456.55,Split,2024-05-05,Completed
TXN1029,Bond,IN00956795,332,16961.96,Merger,2024-08-31,Completed
TXN1030,Derivative,IN00681542,325,47639.99,Split,2024-11-08,Completed
TXN1031,Derivative,IN00413921,189,46897.36,Merger,2024-02-07,Completed
TXN1032,Equity,IN00795613,437,46739.74,Split,2024-08-21,Completed
TXN1033,Derivative,IN00208618,344,33957.78,Buyback,2024-07-31,Completed
TXN1034,Equity,IN00240814,269,29044.23,Bonus Issue,2024-11-18,Completed
TXN1035,Mutual Fund,IN00377312,343,14474.71,Bonus Issue,2024-10-21,Completed
TXN1036,Derivative,IN00221035,249,24519.23,Merger,2024-04-09,Completed
TXN1037,Derivative,IN00212235,235,49912.86,Merger,2024-12-22,Completed
TXN1038,Derivative,IN00878480,162,42770.99,Bonus Issue,2024-07-15,Completed
TXN1039,ETF,IN00680097,115,19578.09,Buyback,2024-09-10,Completed
TXN1040,ETF,IN00262998,310,20134.86,Buyback,2024-07-23,Completed
TXN1041,Bond,IN00385577,297,33194.28,Split,2024-05-04,Completed
TXN1042,ETF,IN00395442,101,13150.28,Merger,2024-03-16,Completed
TXN1043,Bond,IN00734210,431,38776.3,Buyback,2024-12-01,Completed
TXN1044,ETF,IN00320861,79,42140.93,Dividend,2024-12-18,Completed
TXN1045,Mutual Fund,IN00852470,485,49119.38,Split,2024-01-03,Completed
TXN1046,Bond,IN00459536,106,30808.25,Split,2024-02-24,Completed
TXN1047,ETF,IN00313487,133,15530.42,Bonus Issue,2024-08-05,Completed
TXN1048,Mutual Fund,IN00820892,371,36390.03,Merger,2024-04-22,Completed
TXN1049,ETF,IN00765046,136,47373.95,Buyback,2024-03-31,Completed
TXN1050,Equity,IN00994343,460,16105.08,Buyback,2024-12-22,Completed
